날짜,시가,고가,저가,종가,거래량,등락률
2018-06-01,0,0,0,25849,0,0.0
2018-06-04,0,0,0,25849,0,0.0
2018-06-05,0,0,0,25849,0,0.0
2018-06-07,0,0,0,25849,0,0.0
2018-06-08,0,0,0,25849,0,0.0
2018-06-11,0,0,0,25849,0,0.0
2018-06-12,0,0,0,25849,0,0.0
2018-06-14,0,0,0,25849,0,0.0
2018-06-15,0,0,0,25849,0,0.0
2018-06-18,0,0,0,25849,0,0.0
2018-06-19,0,0,0,25849,0,0.0
2018-06-20,0,0,0,25849,0,0.0
2018-06-21,0,0,0,25849,0,0.0
2018-06-22,0,0,0,25849,0,0.0
2018-06-25,0,0,0,25849,0,0.0
2018-06-26,0,0,0,25849,0,0.0
2018-06-27,0,0,0,25849,0,0.0
2018-06-28,0,0,0,25849,0,0.0
2018-06-29,0,0,0,25849,0,0.0
