날짜,시가,고가,저가,종가,거래량,등락률
2023-01-02,47750,48750,47550,47600,547689,-1.8556701030927836
2023-01-03,47900,49300,47300,49050,1031515,3.046218487394958
2023-01-04,48250,50700,48250,50500,1083324,2.9561671763506627
2023-01-05,50600,53900,50500,53900,2515852,6.732673267326733
2023-01-06,53800,57500,53400,56700,2935706,5.194805194805195
2023-01-09,57300,57500,55900,57200,2076859,0.8818342151675485
2023-01-10,56400,57900,56300,57800,1926580,1.048951048951049
2023-01-11,57700,57800,55900,56400,1804800,-2.422145328719723
2023-01-12,56100,56900,56100,56500,1818316,0.1773049645390071
2023-01-13,56400,57800,55800,57400,1708096,1.592920353982301
2023-01-16,57300,60300,57200,60000,3019556,4.529616724738676
2023-01-17,60500,60700,58700,59100,1750057,-1.5
2023-01-18,58900,58900,57300,58500,1487071,-1.015228426395939
2023-01-19,57700,58400,56800,57200,1604477,-2.2222222222222223
2023-01-20,56900,57700,56700,57000,1496054,-0.34965034965034963
2023-01-25,57000,58700,57000,58500,1649210,2.631578947368421
2023-01-26,58000,59500,57900,58900,1352210,0.6837606837606838
2023-01-27,57700,58400,57400,57700,1920720,-2.037351443123939
2023-01-30,57300,58700,57200,57300,1233861,-0.6932409012131715
2023-01-31,57400,58000,55500,55900,1402754,-2.4432809773123907
