날짜,시가,고가,저가,종가,거래량,등락률
2021-05-03,0,0,0,1555,0,0.0
2021-05-04,0,0,0,1555,0,0.0
2021-05-06,0,0,0,1555,0,0.0
2021-05-07,0,0,0,1555,0,0.0
2021-05-10,0,0,0,1555,0,0.0
2021-05-11,0,0,0,1555,0,0.0
2021-05-12,0,0,0,1555,0,0.0
2021-05-13,0,0,0,1555,0,0.0
2021-05-14,0,0,0,1555,0,0.0
2021-05-17,0,0,0,1555,0,0.0
2021-05-18,0,0,0,1555,0,0.0
2021-05-20,0,0,0,1555,0,0.0
2021-05-21,0,0,0,1555,0,0.0
2021-05-24,0,0,0,1555,0,0.0
2021-05-25,0,0,0,1555,0,0.0
2021-05-26,0,0,0,1555,0,0.0
2021-05-27,0,0,0,1555,0,0.0
2021-05-28,0,0,0,1555,0,0.0
2021-05-31,0,0,0,1555,0,0.0
