날짜,시가,고가,저가,종가,거래량,등락률
2018-09-03,0,0,0,58400,0,0.0
2018-09-04,0,0,0,58400,0,0.0
2018-09-05,0,0,0,58400,0,0.0
2018-09-06,0,0,0,58400,0,0.0
2018-09-07,0,0,0,58400,0,0.0
2018-09-10,0,0,0,58400,0,0.0
2018-09-11,0,0,0,58400,0,0.0
2018-09-12,0,0,0,58400,0,0.0
2018-09-13,0,0,0,58400,0,0.0
2018-09-14,0,0,0,58400,0,0.0
2018-09-17,0,0,0,58400,0,0.0
2018-09-18,0,0,0,58400,0,0.0
2018-09-19,0,0,0,58400,0,0.0
2018-09-20,0,0,0,58400,0,0.0
2018-09-21,0,0,0,58400,0,0.0
2018-09-27,0,0,0,58400,0,0.0
2018-09-28,0,0,0,58400,0,0.0
